language,affiliation,family,glottocode,language_color,affiliation_color,x,y,abbreviation
Agul,Lezgic,East Caucasian,aghu1253,#00cc66,#ffd000,8,4,
Amuzgi-Shiri,Dargwa,East Caucasian,sout3261,#f9ec49,#ffb268,9,5,
Archi,Lezgic,East Caucasian,arch1244,#88ff26,#ffd000,6,5,
Avar,Avar-Andic,East Caucasian,avar1256,#009999,#009999,6,7,
Azerbaijani,Oghuz,Turkic,nort2697,#cccccc,#666666,8,1,
Bagvalal,Avar-Andic,East Caucasian,bagv1239,#000066,#009cff,4,9,
Bezhta,Tsezic,East Caucasian,bezh1248,#ff5050,#ff0066,4,6,
Borch-Khnov,Lezgic,East Caucasian,rutu1240,#009900,#ffd000,9,2,
Botlikh,Avar-Andic,East Caucasian,botl1242,#327fcb,#5fc1ff,4,10,
Budukh,Lezgic,East Caucasian,budu1248,#3e7a04,#ffd000,11,2,
Chamalal,Avar-Andic,East Caucasian,cham1309,#000099,#0c60db,3,8,
Chechen,Nakh,East Caucasian,chec1245,#996600,#996600,3,12,
Chirag,Dargwa,East Caucasian,chir1284,#fecc9b,#ffb268,7,4,
Eastern Armenian,Armenic,Indo-European,nucl1235,#9d76ff,#cab3ff,1,1,Armenian
Georgian,Georgic,Kartvelian,nucl1302,#9effed,#9effed,1,4,
Gigatli,Avar-Andic,East Caucasian,cham1309,#0000c3,#ff8c00,3,9,
Godoberi,Avar-Andic,East Caucasian,ghod1238,#2563de,#b99c00,3,10,
Hapshima,Dargwa,East Caucasian,darg1241,#ff8c00,#ffb268,8,7,
Hinuq,Tsezic,East Caucasian,hinu1240,#ff0066,#ff0066,3,6,
Hunzib,Tsezic,East Caucasian,hunz1247,#cc0000,#ff0066,4,5,
Ingush,Nakh,East Caucasian,ingu1240,#663300,#996600,2,12,
Juhuri,Iranian,Indo-European,jude1256,#9a7ee0,#cab3ff,12,5,
Kajtag,Dargwa,East Caucasian,kajt1238,#b99c00,#ffb268,11,6,
Karata,Avar-Andic,East Caucasian,kara1474,#4a4ab5,#eec400,5,10,
Khinalug,Khinalug,East Caucasian,khin1240,#ead1dc,#fff672,10,1,
Khwarshi,Tsezic,East Caucasian,khva1239,#ec2525,#ff0066,3,7,
Kryz,Lezgic,East Caucasian,kryt1240,#43cd71,#ffd000,10,2,
Kubachi,Dargwa,East Caucasian,kuba1248,#d4c948,#ffb268,9,6,
Kumyk,Kipchak,Turkic,kumy1244,#a6a6a6,#666666,8,11,
Lak,Lak,East Caucasian,lakk1252,#ffb8ff,#ffb8ff,7,6,
Lezgian,Lezgic,East Caucasian,lezg1247,#00cc00,#ffd000,10,3,
Lower Andi,Avar-Andic,East Caucasian,lowe1465,#003366,#009900,5,11,L. Andi
Mehweb,Dargwa,East Caucasian,darg1241,#ffb268,#ffb268,7,7,
Mitahi-Jalqan,Iranian,Indo-European,nort2697,#cab3ff,#cab3ff,12,6,
Muira,Dargwa,East Caucasian,darg1241,#ff984e,#ffb268,10,7,
Nogai,Kipchak,Turkic,noga1249,#666666,#666666,7,12,
Northern Akhvakh,Avar-Andic,East Caucasian,akhv1239,#5fc1ff,#34ed34,5,8,N. Akhvakh
Northern Dargwa,Dargwa,East Caucasian,darg1241,#ee7621,#ffb268,9,8,N. Dargwa
Qushan Agul,Lezgic,East Caucasian,kosh1245,#00ff80,#ffd000,9,4,
Rutul,Lezgic,East Caucasian,rutu1240,#34ed34,#ffd000,9,3,
Sanaqari-Chahrizhi,Dargwa,East Caucasian,kajt1238,#ffd000,#ffb268,10,6,Sanaqari-Chah
Sanzhi-Itsari,Dargwa,East Caucasian,sout3261,#eee685,#ffb268,8,5,
Shari,Dargwa,East Caucasian,kajt1238,#eec400,#ffb268,10,5,
Southern Akhvakh,Avar-Andic,East Caucasian,sout3319,#009cff,#ff5050,5,7,S. Akhvakh
Southwestern Dargwa,Dargwa,East Caucasian,sout3261,#fff672,#ffb268,8,6,SW. Dargwa
Tabasaran,Lezgic,East Caucasian,taba1259,#44c044,#ffd000,10,4,
Tat,Iranian,Indo-European,musl1236,#bba2ff,#cab3ff,12,1,
Tindi,Avar-Andic,East Caucasian,tind1238,#0c60db,#990033,4,8,
Tsakhur,Lezgic,East Caucasian,tsak1249,#409c00,#ffd000,8,3,
Tsez,Tsezic,East Caucasian,dido1241,#990033,#ff0066,2,6,
Tsova-Tush,Nakh,East Caucasian,bats1242,#7d552c,#996600,2,4,
Tsudaqar,Dargwa,East Caucasian,darg1241,#ffc65b,#ffb268,8,8,
Tukita,Avar-Andic,East Caucasian,kara1474,#6262ff,#9effed,5,9,
Udi,Lezgic,East Caucasian,udii1243,#006400,#ffd000,9,1,
Upper Andi,Avar-Andic,East Caucasian,uppe1485,#095097,#666666,4,11,Up. Andi
Usisha-Butri,Dargwa,East Caucasian,darg1241,#cf7d1c,#ffb268,9,7,
